id,name,party,sector,country,type
UL,Ursula von der Leyen,CDU,Politik,Germany,0
LK,Lars Klingbeil,SPD,Politik,Germany,0
NR,Norbert Röttgen,CDU,Politik,Germany,0
SW,Sahra Wagenknecht,Die Linke,Politik,Germany,0
CS,Dr. Constanze Stelzenmüller,,Juristin und Publizistin,USA,0
CL,Christian Lindner,FDP,Politik,Germany,
KS,Karl Schlögel,,Historik,Germany,
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine,
KD,Kristina Dunz,,Leitung,Germany,
EL,Egils Levits,,Präsidium,Lettland,
AB,Annalena Baerbock,Die Grünen,Politik,Germany,
FT,Frans Timmermans,,Politik,,
AM,Andrij Melnyk,,Politik,,
AGL,Alexander Graf Lambsdorff,FDP,Politik,,
ER,Egon Ramms,,Bundeswehr,,
RH,Robert Habeck,Die Grünen,Politik,,
CM,Claudia Major,,Wissenschaft,,
KP,Katja Petrowskaja,,Wissenschaft & Journalismus,,
RK,Roderich Kiesewetter,CDU,Politik,,